Metric,Current Month (INR),Previous Month (INR),YTD Total (INR),% Change
Office Rent,"57,32,872","54,42,331","2,88,29,599",5.30%
Marketing & Advertisement,"14,79,842","11,54,939","91,90,819",28.10%
Net Profit,"94,68,935","1,09,80,888","6,65,30,758",-13.80%
IT & Cloud Hosting,"93,37,616","1,21,17,250","9,34,38,945",-22.90%
Interest Expense,"5,94,925","6,97,066","60,78,244",-14.70%
Lab Maintenance,"90,60,732","1,08,12,160","8,15,67,003",-16.20%
Subscription Revenue,"9,71,287","12,27,152","71,63,864",-20.90%
Prototype Development,"64,18,315","83,41,039","5,79,43,062",-23.10%
Travel & Conveyance,"12,98,178","16,68,259","1,30,21,160",-22.20%
Gross Revenue,"48,34,110","43,34,515","2,94,60,530",11.50%
Manufacturing Expenses,"88,57,272","94,04,154","5,33,33,703",-5.80%
Service Revenue,"46,89,150","41,58,774","2,85,60,400",12.80%
Operating Income,"97,36,524","1,18,99,787","8,81,03,888",-18.20%
Administrative Expenses,"45,63,879","52,24,074","3,19,83,196",-12.60%
Direct Labor Costs,"99,62,882","1,25,91,033","7,97,46,052",-20.90%
Electricity & Utilities,"32,79,140","39,18,622","2,96,92,755",-16.30%
Tax Expense,"48,76,180","42,01,395","2,96,27,701",16.10%
R&D Expenses,"22,72,118","25,59,861","1,83,08,013",-11.20%
Raw Material Procurement,"31,93,578","24,43,341","2,91,20,151",30.70%
Hardware Sales,"17,81,281","18,50,920","1,25,90,237",-3.80%