Question_ID,Category,Customer_Query,Evidence_Based_Answer,Benefit_Tag,Technical_Logic
CS-QA-4000,Reliability & Outages,Urgently need to know: does the company know i have no light?.,"The system identifies faults instantly, reducing the need for customers to report outages manually.",Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4001,Billing & Accuracy,"Hi, check my charges?","Bills might seem higher because the meter is now recording energy previously missed by old, estimated guesses.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4002,Reliability & Outages,"Hi, does the company know i have no light??","The system identifies faults instantly, reducing the need for customers to report outages manually.",Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4003,Billing & Accuracy,Urgently need to know: is my meter accurate?.,"Smart meters provide 30-minute interval data to ensure bills are based on actual use, not estimates.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4004,Billing & Accuracy,"Hi, is my meter accurate??","Smart meters provide 30-minute interval data to ensure bills are based on actual use, not estimates.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4005,Reliability & Outages,Report an outage,Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4006,Prepayment & Switching,I ran out of credit,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4007,Reliability & Outages,"Hi, does the company know i have no light??",Smart grids use meter data to restore power faster by locating the exact point of failure.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4008,Reliability & Outages,"Hi, does the company know i have no light??",Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4009,Prepayment & Switching,Urgently need to know: how to top up?.,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4010,Connectivity & Technical,Urgently need to know: blank screen on display.,The Communications Hub uses a Wide Area Network (WAN) to send data to the supplier safely.,Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4011,Reliability & Outages,I need help with my power is out.,"The system identifies faults instantly, reducing the need for customers to report outages manually.",Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4012,Prepayment & Switching,Urgently need to know: i ran out of credit.,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4013,Reliability & Outages,Grid failure,Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4014,Reliability & Outages,"Hi, my power is out?","The system identifies faults instantly, reducing the need for customers to report outages manually.",Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4015,Prepayment & Switching,Can you explain can i switch to pay-as-you-go? to me?,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4016,Billing & Accuracy,"Hi, why is my bill high??",Half-hourly data allows for 'Time of Use' (ToU) tariffs where night-time energy is cheaper.,Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4017,Billing & Accuracy,Can you explain check my charges to me?,"Smart meters provide 30-minute interval data to ensure bills are based on actual use, not estimates.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4018,Connectivity & Technical,Urgently need to know: connection lost.,The Communications Hub uses a Wide Area Network (WAN) to send data to the supplier safely.,Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4019,Billing & Accuracy,I need help with why is my bill high?.,Half-hourly data allows for 'Time of Use' (ToU) tariffs where night-time energy is cheaper.,Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4020,Prepayment & Switching,Urgently need to know: i ran out of credit.,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4021,Prepayment & Switching,Can you explain can i switch to pay-as-you-go? to me?,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4022,Connectivity & Technical,IHD not working,The IHD updates electricity data every 10 seconds using the Home Area Network (HAN).,Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4023,Prepayment & Switching,Urgently need to know: how to top up?.,Emergency credit can be triggered directly through the IHD when your balance is low.,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4024,Connectivity & Technical,Can you explain connection lost to me?,"If the IHD is blank, it may be out of range of the HAN or require a battery recharge.",Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4025,Connectivity & Technical,"Hi, ihd not working?",The Communications Hub uses a Wide Area Network (WAN) to send data to the supplier safely.,Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4026,Billing & Accuracy,Can you explain estimated vs actual bill to me?,"Smart meters provide 30-minute interval data to ensure bills are based on actual use, not estimates.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4027,Billing & Accuracy,I need help with is my meter accurate?.,Half-hourly data allows for 'Time of Use' (ToU) tariffs where night-time energy is cheaper.,Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4028,Reliability & Outages,Can you explain my power is out to me?,Smart grids use meter data to restore power faster by locating the exact point of failure.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4029,Billing & Accuracy,Can you explain check my charges to me?,"Bills might seem higher because the meter is now recording energy previously missed by old, estimated guesses.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4030,Billing & Accuracy,Can you explain why is my bill high? to me?,"Smart meters provide 30-minute interval data to ensure bills are based on actual use, not estimates.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4031,Connectivity & Technical,Can you explain connection lost to me?,The Communications Hub uses a Wide Area Network (WAN) to send data to the supplier safely.,Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4032,Reliability & Outages,I need help with does the company know i have no light?.,Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4033,Billing & Accuracy,Can you explain estimated vs actual bill to me?,"Bills might seem higher because the meter is now recording energy previously missed by old, estimated guesses.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4034,Prepayment & Switching,"Hi, i ran out of credit?",Prepayment customers can top-up via mobile apps like Xenius or the In-Home Display (IHD).,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4035,Reliability & Outages,Report an outage,"The system identifies faults instantly, reducing the need for customers to report outages manually.",Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4036,Reliability & Outages,"Hi, grid failure?",Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4037,Billing & Accuracy,Urgently need to know: why is my bill high?.,Half-hourly data allows for 'Time of Use' (ToU) tariffs where night-time energy is cheaper.,Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4038,Prepayment & Switching,Urgently need to know: switching to cheaper tariff.,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
